"@ganjarpranowo nggih leres pak ganjar...lare  kulo smp negeri nggih di tarik uang pembangunan 600rb,niki pun kls 9 ditarik maleh 150rb.k	ulo	mung kuli	pak ganj	aar.arto sak monten nggih katah sanget😊😊🙏🙏"
"@GanjaranApp Pak Ganjar top markotop sekali! Semangat buat kita yang dukung pak ganjar #GanjaranApp #GanjarKita				"
"@GanjaranApp Ayo bu kasih lampu hijau Ganjar maju #GanjaranApp #GanjarKita				"
"@registaco Ganjar pranowo kalo misal gagal nyaper karna kalah dari anak hokage mending jadi ketum PSSI, pendekatan politik nya lumayan b	agus	tapi per	lu di dam	pingin orang orang bola asli kayak mantan pemain atau praktisi tata kelola sepak bola"
"@GanjaranApp Memang Pak Ganjar itu selalu deh buat hal yg baru #GanjaranApp #GanjarKita				"
"@ChusnulCh__ @ganjarpranowo @aniesbaswedan Ya beda kelas lah.. pak ganjar ini mirip pak jkwi, pemimpin yg betul2 merakyat dan berasal dr	baw	ah. Jd me	ngerti be	tul cara pendekatan kepd rakyat kecil. Bukan hanya pandai memoles kata2 mutiara dan nasehat2 surg"
"@Dnok_Ayu Beliau .. bisa berteman berkumpul dng siapa saja . Dng anak2 sayang.. dng yg sepuh mnghormati.. dng yg muda bisa merangkul..Yg	pen	ting ttp	sopan san	tun sebagai pemimpin mnghargai siapapun..Berkah kagem pak Ganjar 🌹🇮🇩"
"Panutan Pak Ganjar https://t.co/Jb1GFESNiL				"
"@detikcom Jadinya capres dari PDIP siapa nih. Ganjar atau Puan. Kok paling dielu2kan di medsos dan byk promos diri itu Ganjar. Apa Ganja	r yg	dipilih	partai PD	IP."
"@ChusnulCh__ @ganjarpranowo Ada yang bisa sebutkan 10 saja prestasi pak ganjar baik Dari dalam maupun luar? Katanya sih hebat.				"
"@ChusnulCh__ @ganjarpranowo Ganjar hebat.. tinggal menunggu siapa yg bakal meminang jadi capres atau cawapres.. oh sudah ya? Dari PSI pa	rtai	bro dan	sis itu?	Bersyukur akhirnya ada partai yg deklarasi. Manstab.. lanjutkeun."
"""@PartBurungGalak Pas sih tdk...Tapi jika mega dan pdip msh spt saat ini...seolah tdk butuh Ganjar dan trs main """"""""detik2 terakhir"""""""".	...m	k ini yg	paling pa	""s☝️‼pengusung Ganjar sdh muak dg sikap PDIP yg acuh tp butuh kekuasaan di istana☝️☝️"""""""
"Relawan 'Sedherek Ganjar Pranowo Gunungkidul' mendeklarasikan dukungan untuk Ganjar maju menjadi Presiden RI 2024 https://t.co/GeF5p3fH0	S			"
"@ganjarpranowo Pak Ganjar, selama pak guru dan kepala sekolah punya kewenangan untuk melakukan apa saja kpd muridnya selama itulah ia me	nyal	ahgunakan	kewenang	annya (abuse of power). Kontrol muridnya dan ortunya perlu digalakkan."
