datetime;username;content
2022-10-15 22:21:23+00:00;SevenEl43262934;@sayacutricky @aniesbaswedan Gak ke ikn? Biar pak ganjar aja yg ke istana baru di ikn. Bravo pak ganjar next presiden.
2022-10-15 22:19:55+00:00;Nasehatindah73;Lembaga survey yang memenangkan pak Ganjar dan pak Prabowo hanya survey di ikuti 2.500 orang, dan lokasi surveynys byk di daerah non muslim, sedangkan voting di medsos yg di ikuti oleh ratusan ribu voting, Pak Anies menang dengan prosentase 70-90%, ketahuan bohongnya survey Abal2
2022-10-15 22:17:19+00:00;Ugi7498;@ChusnulCh__ @ganjarpranowo Ganjar, capres dari partai mana. Klo PDIP, apa udah dpt restu Ketum PDIP. Ato memang lagi promo diri, biar laku sama partai lain. Wah..bakal seru. Anis-Ganjar-Puan. 3 capres yg seru di 2024.
2022-10-15 22:16:49+00:00;s_erfa;@berlianidris @Rosianna766Hi @DonAdam68 @febridiansyah Bagaimana kalo P Dokter aja berpasangan sama P Ganjar
2022-10-15 22:14:03+00:00;rnpranata78;@psi_id Ane dukung GARING = Ganjar Giring jd Capres Cawapres dr Psi 😃
2022-10-15 22:13:39+00:00;jraharja76;@RenataLevel42 @66Hasto @puanmaharani_ri @Arioplbg @AGoeci @BungNanda @Dargomb33306384 @dewi_darmawati @heal_da_w0rld @ShenRu013 @ArSunantoaris @Minietweets_ @ellenmine1 @vita_AVP @ninealaine @wiena_kinasih @Demast1 @dien722 @Ajiek_Dewa78 @SonnyIswara @yu
2022-10-15 22:09:10+00:00;Achmadbinyahya1;@Subur0204 Prestasi GANJAR apa, prestasi YENI WAHID apa, ko kelihatannya tidak ada
2022-10-15 22:05:00+00:00;Ugi7498;@OposisiCerdas PDIP msh galau. Antara Ganjar atau Puan. Semua momentumnya sama. Puan kapan lagi mau jd presiden. Cucu Presiden....masak kalah sama Ganjar. Emang siapa Ganjar.
2022-10-15 22:04:24+00:00;Azhari89456519;@Mars_Sahsa Den Ganjar...dimana?
2022-10-15 22:02:20+00:00;sennsendy88;@ganjarpranowo Pak Ganjar tolong pindah partai dan maju PRESIDEN. Saya dulu dukung banteng, alm om saya juga pengurus banteng Purworejo, tapi sekarang saya malas lihatnya. Yang tukang bakso, yang bagi kaos cemberut, dll.
2022-10-15 22:00:53+00:00;Ugi7498;@OposisiCerdas Khan ada Bu Mega, tinggal tentukan siapa capres PDIP. Ganjar ato Bu Puan. Gitu aja kok repot. Semua pilihan ini, berkonsekuensi kok.
2022-10-15 21:56:37+00:00;pecintabakkara;@ChusnulCh__ @ganjarpranowo Real  Ganjar  dipersiapkan Oligarki Untuk Pilpres 2024
2022-10-15 21:54:49+00:00;barisan_ganjar;@ganjarpranowo Selalu full senyum
2022-10-15 21:47:09+00:00;kipandanalas;@psi_id Dukung Ganjar tapi yang penting Ganjar bisa bagi waktu antara begadang nonton situs porno &amp
2022-10-15 21:45:00+00:00;SINDOnews;Ganjar Pranowo Dapat Dukungan Ratusan Santri di Sumut Jadi Presiden 2024
2022-10-15 21:42:07+00:00;fadlyhendra11;@GasTrusss @soebiro @yusuf_dumdum anies pribumi ahok non pribumi jokowi.anak keturunan pki ganjar agama nya ngga jelas
2022-10-15 21:40:16+00:00;fadlyhendra11;@OSyaefurrochman @Miduk17 jokowi 8 tahun jadi presiden minim prestasi.ganjar 9 tahun jdi gubernur.nol.prestasi kedua anak didik megawati ini.memang ngga ada punya prestasi #jkwsengsarakanrakyat
2022-10-15 21:33:37+00:00;Pamelia1_;@GanjaranApp Banyak masyarakat yg dukung pak ganjar
2022-10-15 21:33:05+00:00;Tessa1__;@GanjaranApp Serius deh Pak ganjar itu terbaik
2022-10-15 21:32:36+00:00;Leigha1_;@GanjaranApp Pokoknya cuma pak ganjar terbaik deh
2022-10-15 21:32:10+00:00;Mihawkykn;@GanjaranApp Jelas Pak ganjar itu sosok pemimpin bagi siapapun
2022-10-15 21:31:39+00:00;Georgeni1_;@GanjaranApp Pak ganjar terbaik deh pokoknya
2022-10-15 21:31:15+00:00;avakorutt;@fajaralam9 @detikcom Jangan2 plot twist tiba2 mereka eks HTI dan FPi dukung puan dan ganjar, chuakkzzss. Buzzerp mingkem lgsg.
2022-10-15 21:31:10+00:00;Eleonor1_;@GanjaranApp Pokoknya Pak ganjar itu pasti di sambut dmn pun
2022-10-15 21:30:41+00:00;Lyndsay1_;@GanjaranApp Bukti banyak yang cinta pak ganjar
2022-10-15 21:30:06+00:00;Maegan1_;@GanjaranApp Dimanapun pak ganjar itu di sambut loh
2022-10-15 21:29:43+00:00;Asia1___;@GanjaranApp Siapa sih yang gak kenal pak ganjar
2022-10-15 21:29:20+00:00;Daniella1__;@GanjaranApp Jelas dong, pak ganjar itu di sambut dimana mana loh
2022-10-15 21:28:15+00:00;Tessa1__;@GanjaranApp Ya cuma pak ganjar yg serius mikirin rakyat
2022-10-15 21:27:48+00:00;Leigha1_;@GanjaranApp Pokoknya the best deh Pak ganjar
2022-10-15 21:27:27+00:00;Mihawkykn;@GanjaranApp Solusi Pak ganjar itu biasanya mantap
2022-10-15 21:26:58+00:00;Georgeni1_;@GanjaranApp Gak usah khawatir, pak ganjar selalu punya solusi
2022-10-15 21:26:30+00:00;Eleonor1_;@GanjaranApp Alhamdulillah sehat terus pak ganjar
2022-10-15 21:26:06+00:00;Lyndsay1_;@GanjaranApp Cuma pak ganjar yang begini looh  kampanye...
2022-10-15 21:25:39+00:00;Maegan1_;@GanjaranApp Pak ganjar sehat terus pokoknya
